verbos rusos de la с a la ф
imperfectivo         perfectivo
светить              посветить
слушать              послушать
смотреть             посмотреть
советовать           посоветовать
спать                поспать
спрашивать           спросить
спешить              поспешить
спрашивать           спросить 
танцевать           станцевать
ужинать             поужинать
улыбаться           улыбнуться
уметь               суметь
учить               научить
учиться             научиться
фотографировать     сфотографировать
